date,slot_name,ad_requests,impressions,impression_rate,clicks,click_rate,ecpm,income,raw_json
2026-06-19,贴图底部推荐流广告,72,3,0.0417,0,0.0,0.0,0.0,"{""时间"": ""2026-06-19"", ""拉取量"": ""72"", ""曝光量"": ""3"", ""曝光率"": ""4.17%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.00"", ""收入（元）"": ""0.00""}"
2026-06-20,文章中部广告,6820,2455,0.36,15,0.0060999999999999995,3.38,8.29,"{""时间"": ""2026-06-20"", ""拉取量"": ""6,820"", ""曝光量"": ""2,455"", ""曝光率"": ""36.00%"", ""点击量"": ""15"", ""点击率"": ""0.61%"", ""eCPM（元）"": ""3.38"", ""收入（元）"": ""8.29""}"
2026-06-20,文章底部广告,3495,398,0.1139,3,0.0075,3.59,1.43,"{""时间"": ""2026-06-20"", ""拉取量"": ""3,495"", ""曝光量"": ""398"", ""曝光率"": ""11.39%"", ""点击量"": ""3"", ""点击率"": ""0.75%"", ""eCPM（元）"": ""3.59"", ""收入（元）"": ""1.43""}"
2026-06-20,留言区广告,3948,166,0.042,1,0.006,3.37,0.56,"{""时间"": ""2026-06-20"", ""拉取量"": ""3,948"", ""曝光量"": ""166"", ""曝光率"": ""4.20%"", ""点击量"": ""1"", ""点击率"": ""0.60%"", ""eCPM（元）"": ""3.37"", ""收入（元）"": ""0.56""}"
2026-06-20,贴图底部推荐流广告,27,2,0.0741,0,0.0,15.0,0.03,"{""时间"": ""2026-06-20"", ""拉取量"": ""27"", ""曝光量"": ""2"", ""曝光率"": ""7.41%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""15.00"", ""收入（元）"": ""0.03""}"
2026-06-21,文章中部广告,6622,2671,0.40340000000000004,18,0.0067,2.71,7.23,"{""时间"": ""2026-06-21"", ""拉取量"": ""6,622"", ""曝光量"": ""2,671"", ""曝光率"": ""40.34%"", ""点击量"": ""18"", ""点击率"": ""0.67%"", ""eCPM（元）"": ""2.71"", ""收入（元）"": ""7.23""}"
2026-06-21,文章底部广告,3384,346,0.10220000000000001,2,0.0058,3.61,1.25,"{""时间"": ""2026-06-21"", ""拉取量"": ""3,384"", ""曝光量"": ""346"", ""曝光率"": ""10.22%"", ""点击量"": ""2"", ""点击率"": ""0.58%"", ""eCPM（元）"": ""3.61"", ""收入（元）"": ""1.25""}"
2026-06-21,留言区广告,3271,126,0.0385,1,0.0079,3.97,0.5,"{""时间"": ""2026-06-21"", ""拉取量"": ""3,271"", ""曝光量"": ""126"", ""曝光率"": ""3.85%"", ""点击量"": ""1"", ""点击率"": ""0.79%"", ""eCPM（元）"": ""3.97"", ""收入（元）"": ""0.50""}"
2026-06-21,贴图底部推荐流广告,50,2,0.04,0,0.0,5.0,0.01,"{""时间"": ""2026-06-21"", ""拉取量"": ""50"", ""曝光量"": ""2"", ""曝光率"": ""4.00%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""5.00"", ""收入（元）"": ""0.01""}"
2026-06-22,文章中部广告,9658,4193,0.4341,26,0.0062,2.96,12.42,"{""时间"": ""2026-06-22"", ""拉取量"": ""9,658"", ""曝光量"": ""4,193"", ""曝光率"": ""43.41%"", ""点击量"": ""26"", ""点击率"": ""0.62%"", ""eCPM（元）"": ""2.96"", ""收入（元）"": ""12.42""}"
